2018-07-14 07:54:26,264 [  25153]   INFO -            PyTestLegacyInterop - Disabling com.jetbrains.python.testing.nosetestLegacy.PythonNoseTestConfigurationProducer@703e8561 
2018-07-14 07:54:26,265 [  25154]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.ssh.one.time.password' has changed to 'true" 
2018-07-14 07:54:26,388 [  25277]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from /home/necron9x11/.PyCharmCE2018.1/system/index/.persistent/prebuilt/Python/id-index.input 
2018-07-14 07:54:26,559 [  25448]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:PythonStub,HTML,Properties,XML,Python 
2018-07-14 07:54:26,653 [  25542]   INFO - pl$FileIndexDataInitialization - Initialization done:550 
2018-07-14 07:54:26,681 [  25570]   INFO - exImpl$StubIndexInitialization - Initialization done:27 
2018-07-14 07:54:26,697 [  25586]   INFO - plication.impl.ApplicationImpl - 76 application components initialized in 2388ms 
2018-07-14 07:54:26,704 [  25593]   INFO - .intellij.idea.IdeaApplication - App initialization took 25985 ms 
2018-07-14 07:54:27,588 [  26477]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@49bf26f2 
2018-07-14 07:54:27,874 [  26763]   INFO - pl.projectlevelman.NewMappings - VCS Root: [] - [<Project>] 
2018-07-14 07:54:27,875 [  26764]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [/home/necron9x11/Code/python/violentPython] 
2018-07-14 07:54:27,993 [  26882]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@21a9ebe8 
2018-07-14 07:54:28,167 [  27056]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.codeInsight.completion.CompletionPreloader@1a3cd8d3 
2018-07-14 07:54:28,176 [  27065]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.actions.GotoClassPresentationUpdater@4582d3f6 
2018-07-14 07:54:28,219 [  27108]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2018-07-14 07:54:28,221 [  27110]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=15, fontScale=1.25; restored: fontSize=15, fontScale=1.0 
2018-07-14 07:54:28,414 [  27303]   INFO - ellij.project.impl.ProjectImpl - 89 project components initialized in 1147 ms 
2018-07-14 07:54:28,657 [  27546]   INFO - le.impl.ModuleManagerComponent - 1 module(s) loaded in 242 ms 
2018-07-14 07:54:28,742 [  27631]   INFO - j.ide.script.IdeStartupScripts - 0 startup script(s) found 
2018-07-14 07:54:29,962 [  28851]   INFO - .diagnostic.PerformanceWatcher - Pushing Python language level to 8 roots in 1 SDKs took 425ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:54:29,998 [  28887]   INFO - rojectCodeStyleSettingsManager - Initialized from default code style settings. 
2018-07-14 07:54:30,168 [  29057]   INFO - m.maddyhome.idea.vim.VimPlugin - Sending statistics: https://plugins.jetbrains.com/plugins/list?pluginId=IdeaVIM&build=PC-181.5087.37&pluginVersion=0.49&os=Linux+4.4.0-128-generic&uuid=14dea7ff-5aa3-470c-9b08-3c1d9ab01488 
2018-07-14 07:54:30,553 [  29442]   INFO - tartup.impl.StartupManagerImpl - OpenFilesActivity run in 1177ms under project opening modal progress 
2018-07-14 07:54:30,575 [  29464]   INFO - .diagnostic.PerformanceWatcher - Post-startup activities under progress took 1234ms; general responsiveness: ok; EDT responsiveness: 0/1 sluggish, 1/1 very slow 
2018-07-14 07:54:32,412 [  31301]   INFO - j.ide.ui.OptionsTopHitProvider - 410 ms spent to cache options in application 
2018-07-14 07:54:32,417 [  31306]   INFO - tartup.impl.StartupManagerImpl - /home/necron9x11/Code/python/violentPython/ch02/botNet/.idea case-sensitivity: expected=true actual=true 
2018-07-14 07:54:32,463 [  31352]   INFO -  #git4idea.commands.GitHandler - [.] git version 
2018-07-14 07:54:32,474 [  31363]   INFO -  #git4idea.commands.GitHandler - git version 2.7.4 
2018-07-14 07:54:32,481 [  31370]   INFO - ea.config.GitExecutableManager - Git version for /usr/bin/git : 2.7.4 
2018-07-14 07:54:32,648 [  31537]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [/home/necron9x11/Code/python/violentPython] 
2018-07-14 07:54:32,949 [  31838]   INFO - tor.impl.FileEditorManagerImpl - Project opening took 5803 ms 
2018-07-14 07:54:33,253 [  32142]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 2715ms; general responsiveness: ok; EDT responsiveness: 1/3 sluggish, 1/3 very slow 
2018-07-14 07:54:43,035 [  41924]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 9780ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:54:43,046 [  41935]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 34867 files to update 
2018-07-14 07:54:43,421 [  42310]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt sdk-stubs from /home/necron9x11/.PyCharmCE2018.1/system/index/.persistent/prebuilt/Python/sdk-stubs.input 
2018-07-14 07:55:07,982 [  66871]   INFO - ellij.vfs.persistent.FSRecords - Contents:16384 of 27329939, reuses:61 of 36412 for 295 
2018-07-14 07:55:22,866 [  81755]   INFO - ellij.vfs.persistent.FSRecords - Contents:32768 of 38289779, reuses:61 of 36412 for 390 
2018-07-14 07:55:26,960 [  85849]   INFO - .diagnostic.PerformanceWatcher - Unindexed files update took 43914ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:55:27,421 [  86310]   INFO - j.ide.ui.OptionsTopHitProvider - 258 ms spent to cache options in project 
2018-07-14 07:55:27,513 [  86402]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 7/14/18 7:54 AM) 
2018-07-14 07:55:27,706 [  86595]   INFO - hon.packaging.PyPIPackageCache - Package cache /home/necron9x11/.PyCharmCE2018.1/system/python_packages/pypi-cache.json was not found 
2018-07-14 07:55:30,653 [  89542]   INFO - .intellij.util.EnvironmentUtil - loading shell env: /bin/bash -c . '/home/necron9x11/venv/botNet/bin/activate';'/opt/pycharm-community-2018.1.4/bin/printenv.py' '/tmp/intellij-shell-env.tmp' 
2018-07-14 07:55:30,685 [  89574]   INFO - ns.python.sdk.PythonSdkUpdater - Updating sys.path took 39 ms 
2018-07-14 07:55:30,686 [  89575]   INFO - ns.python.sdk.PythonSdkUpdater - Bogus sys.path entry /usr/lib/python35.zip 
2018-07-14 07:55:30,687 [  89576]   INFO - ns.python.sdk.PythonSdkUpdater - Binary skeletons directory for SDK Python 3.5 (botNet) (/home/necron9x11/venv/botNet/bin/python)): /home/necron9x11/.PyCharmCE2018.1/system/python_stubs/-1678689521 
2018-07-14 07:55:30,687 [  89576]   INFO - ns.python.sdk.PythonSdkUpdater - User skeletons directory for SDK Python 3.5 (botNet) (/home/necron9x11/venv/botNet/bin/python)): /opt/pycharm-community-2018.1.4/helpers/python-skeletons 
2018-07-14 07:55:30,702 [  89591]   INFO - pl.ProjectRootManagerComponent - project roots have changed 
2018-07-14 07:55:30,743 [  89632]   INFO - ns.python.sdk.PythonSdkUpdater - Performing background update of skeletons for SDK Python 3.5 (botNet) (/home/necron9x11/venv/botNet/bin/python) 
2018-07-14 07:55:30,744 [  89633]   INFO - .skeletons.PySkeletonRefresher - Refreshing skeletons for /home/necron9x11/venv/botNet/bin/python 
2018-07-14 07:55:30,746 [  89635]   INFO - .diagnostic.PerformanceWatcher - Pushing Python language level to 8 roots in 1 SDKs took 7ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:55:30,767 [  89656]   INFO - .intellij.util.EnvironmentUtil - shell environment loaded (74 vars) 
2018-07-14 07:55:30,841 [  89730]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 86ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:55:31,012 [  89901]   INFO - .skeletons.PySkeletonGenerator - Retrieving binary module list took 236 ms 
2018-07-14 07:55:31,015 [  89904]   INFO - tPregeneratedSkeletonsProvider - Home path is /opt/pycharm-community-2018.1.4 
2018-07-14 07:55:31,585 [  90474]   INFO - .skeletons.PySkeletonGenerator - Retrieving binary module list took 550 ms 
2018-07-14 07:55:31,644 [  90533]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 803ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:55:31,649 [  90538]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 16 files to update 
2018-07-14 07:55:31,760 [  90649]   INFO - .diagnostic.PerformanceWatcher - Unindexed files update took 111ms; general responsiveness: ok; EDT responsiveness: ok 
2018-07-14 07:55:34,290 [  93179]   INFO - .skeletons.PySkeletonGenerator - Rebuilding builtin skeletons took 2703 ms 
2018-07-14 07:55:34,290 [  93179]   INFO - .skeletons.PySkeletonRefresher - Skeleton for _bz2 
2018-07-14 07:55:34,397 [  93286]   INFO - .skeletons.PySkeletonRefresher - Skeleton for _codecs_cn 
2018-07-14 07:55:34,499 [  93388]   INFO - .skeletons.PySkeletonRefresher - Skeleton for _codecs_hk 
